open,high,low,close,volume
1209.4048,1216.7873,1198.9478,1211.1629,22789628
1225.2127999999998,1254.1326000000001,1222.024,1249.7266,28925708
1252.573,1253.5679,1240.4470000000001,1247.2525999999998,22098676
1241.7259000000001,1266.9193,1238.2503000000002,1257.9082,36556471
1250.0362,1261.0003,1232.5186999999999,1236.1943,67380826
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1242.1924,1247.1363000000001,1222.3288,1230.2115000000001,38856735
1215.1851,1220.8352,1169.3919,1180.476,38452277
1185.7008,1195.4288,1175.2839999999999,1182.3754,30773189
1191.1683,1211.2242,1179.1096,1201.7968,30042547
1207.5401,1211.3652,1183.8107,1189.9352999999999,37275635
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1189.7084,1201.7513,1176.2625,1180.1112,44098678
1177.5742,1205.1322,1171.0011,1203.8736999999999,54997233
1200.6968,1215.4739000000002,1194.0632,1198.3016000000002,68142452
1192.242,1204.5077,1178.1145999999999,1197.9568,35883238
1192.4764,1229.9964,1192.3976,1229.2827,58139975
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1231.6325,1246.5351,1229.0789,1237.1728,43917488
1240.7553,1243.9769,1228.0502000000001,1237.1694,29620498
1241.8519,1270.0292,1238.8119,1267.3098,25244059
1270.9541,1287.9546,1270.4754,1284.7595999999999,29432314
1280.9675,1289.2611,1276.2603000000001,1284.7376,27465886
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1286.8929,1298.1571,1284.8657999999998,1286.2425,22296849
1274.6879,1275.0246,1256.4967000000001,1263.5817,25190031
1261.2957999999999,1275.619,1260.1766,1267.8422,20280381
1265.7842,1273.664,1257.7726,1263.4855,18337795
1246.9533,1255.6465,1244.7251,1250.5830999999998,19862968
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1259.9542,1275.15,1258.467,1265.1082999999999,19423998
1269.8249999999998,1273.3543,1251.3779,1254.7936,16330706
1249.3927,1267.1686,1245.3893,1265.9402,21119098
1265.6556,1267.1948,1250.2742,1265.2825,24000748
1265.1416,1270.0856999999999,1259.3281,1262.1277,18360369
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1250.3887000000002,1260.0058,1239.9968000000001,1246.1153,24379214
1248.6473,1255.1042,1241.5178999999998,1253.1997999999999,19829004
1252.6829,1283.3116,1251.615,1269.7668,30571098
1285.2355,1308.1289,1284.147,1307.6091000000001,25864108
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1311.8184999999999,1333.1435000000001,1311.2167,1328.9713,28155753
1331.8925,1337.5077,1323.3954,1330.8047000000001,23243936
1333.6311,1334.9061,1315.5103,1328.6872,22631866
1323.2854,1327.8446999999999,1306.7006,1315.1529999999998,22867200
1307.2087000000001,1316.5194000000001,1299.7944,1310.4226999999998,27947644
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1307.8066999999999,1327.0797,1306.6794,1319.078,19387754
1320.3112999999998,1330.2435,1319.7389,1329.4461999999999,17823159
1331.3846999999998,1337.2195,1321.6869000000002,1323.3539,23144800
1333.2543999999998,1344.8942,1328.7293000000002,1340.7828,22960942
1336.7614999999998,1341.45,1329.6313,1338.9848,63841636
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1329.4255,1361.4105,1328.6931,1360.0859,19898557
1341.5662,1355.5129,1335.4052,1351.6700999999998,35199473
1359.5727,1371.3931,1352.8096,1354.251,22277237
1360.0025999999998,1363.5403,1335.0985,1341.0426,26950016
1343.1752000000001,1346.5649,1329.8912,1338.3287,28511414
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1324.9457,1326.7587,1291.4856,1304.9395,33820406
1308.9403,1317.6507000000001,1297.1553000000001,1300.8242,26132426
1304.493,1317.0222999999999,1285.5886999999998,1286.0772,26579220
1284.1279,1306.4342,1277.7512,1297.6422,18437673
1304.2033000000001,1313.3233,1295.8612,1298.6866,24052787
